,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
4161,Western European,Married,Unknown,Female,Unknown,60.0,425000.0,2003.0,12.0
4162,Hispanic,Unknown,Single Woman,Female,Single Family Residence,54.78437322207472,68066.0,1924.0,23.0
4163,Western European,Single,Unknown or not provided,Female,Single Family Residence,53.0,98127.0,1948.0,3.0
4164,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,54.78437322207472,100.0,1978.6730014713094,10.0
4165,African American,Single,Unmarried Woman,Female,Single Family Residence,67.0,59617.0,1960.0,16.0
4166,Unknown,Unknown,Husband and wife,Unknown,Single Family Residence,54.78437322207472,193146.0,1959.0,11.0
4167,African American,Single,Single / Unmarried,Female,Single Family Residence,51.0,34272.0,1959.0,1.0
4168,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,60989.0,1946.0,23.0
4169,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,134719.0,1922.0,0.0
4170,African American,Married,Unknown or not provided,Female,Condominium,51.0,97320.0,2001.0,13.0
4171,Western European,Married,Unknown or not provided,Male,Condominium,36.0,252521.0,2003.0,12.0
4172,Western European,Married,Unknown or not provided,Male,Condominium,36.0,252521.0,2003.0,12.0
4173,Unknown,Unknown,Unknown or not provided,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,792000.0,1926.0,23.0
4174,African American,Married,Unknown or not provided,Female,Single Family Residence,52.0,43606.0,1926.0,23.0
4175,East Asian,Married,Unknown or not provided,Female,"Multi-Family Dwellings (Generic, any combination)",49.0,23166000.0,1986.0,5.0
4176,Western European,Single,Unknown or not provided,Female,Single Family Residence,56.0,50830.0,1939.0,23.0
4177,Hispanic,Unknown,Single Man,Male,Single Family Residence,54.78437322207472,68820.0,1986.0,8.0
4178,African American,Married,Unknown or not provided,Female,Single Family Residence,84.0,85925.0,1958.0,5.0
4179,African American,Single,Life Estate,Male,Single Family Residence,46.0,167208.0,2007.0,9.0
4180,Western European,Single,Unknown or not provided,Female,Single Family Residence,45.0,350766.0,2004.0,12.0
4181,Western European,Single,Unknown or not provided,Female,Single Family Residence,45.0,350766.0,2004.0,12.0
4182,Western European,Single,Unknown or not provided,Female,Single Family Residence,45.0,350766.0,2004.0,12.0
4183,Western European,Married,Unknown or not provided,Male,Single Family Residence,71.0,417852.0,1947.0,11.0
4184,Western European,Married,Unknown or not provided,Male,Single Family Residence,71.0,417852.0,1947.0,11.0
4185,Western European,Married,Unknown or not provided,Male,Single Family Residence,71.0,417852.0,1947.0,11.0
4186,African American,Married,Husband and wife,Female,Single Family Residence,51.0,142262.0,1960.0,23.0
4187,African American,Single,Husband and wife,Male,Single Family Residence,70.0,140660.0,1987.0,11.0
4188,Hispanic,Married,Husband and wife,Female,Single Family Residence,43.0,102134.0,1979.0,24.0
4189,Western European,Single,Unknown or not provided,Female,Single Family Residence,76.0,80401.0,1949.0,23.0
4190,Western European,Single,Unknown or not provided,Female,Condominium,53.0,102700.0,1999.0,11.699925539836187
4191,Western European,Married,Unknown or not provided,Male,Condominium,71.0,73859.0,1999.0,11.699925539836187
4192,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,54.78437322207472,283801.0,1975.0,11.699925539836187
4193,Western European,Single,Single Man,Female,Single Family Residence,45.0,104501.0,1958.0,23.0
4194,Western European,Single,Single Woman,Female,Single Family Residence,50.0,126114.0,1924.0,24.0
4195,Mediterranean,Single,Trustee,Female,Condominium,50.0,310092.0,2005.0,11.699925539836187
4196,African American,Married,Estate,Male,Single Family Residence,81.0,22665.0,1953.0,23.0
4197,African American,Single,Unknown or not provided,Male,Condominium,35.0,103489.0,2001.0,11.699925539836187
4198,African American,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,35152.0,1926.0,24.0
4199,Western European,Married,Limited Partnership,Male,"Multi-Family Dwellings (Generic, any combination)",55.0,46245400.0,2009.0,7.0
4200,Western European,Married,Unknown or not provided,Male,Residential - Vacant Land,61.0,32890.0,1950.0,0.0
4201,Western European,Single,Unknown or not provided,Male,Apartment house (5+ units),27.0,4835100.0,1987.0,1.0
4202,Hispanic,Married,Trustee,Female,Single Family Residence,80.0,37860.0,1925.0,23.0
4203,Western European,Unknown,Unknown or not provided,Female,Condominium,49.0,100.0,1978.6730014713094,11.0
4204,Western European,Single,Single Man,Female,Single Family Residence,45.0,104501.0,1958.0,23.0
4205,Western European,Single,Single Woman,Female,Single Family Residence,50.0,126114.0,1924.0,24.0
4206,Western European,Single,Unknown or not provided,Female,Condominium,72.0,100.0,2007.0,3.0
4207,Hispanic,Unknown,Unknown or not provided,Male,Single Family Residence,54.78437322207472,63892.0,1955.0,2.0
4208,African American,Married,Estate,Male,Single Family Residence,81.0,22665.0,1953.0,23.0
4209,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,54.78437322207472,133665.0,2005.0,10.0
4210,Mediterranean,Married,Unknown or not provided,Male,Condominium,44.0,5057.0,1978.6730014713094,0.0
4211,Western European,Single,Unknown or not provided,Male,"Multi-Family Dwellings (Generic, any combination)",52.0,974600.0,1964.0,23.0
4212,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,54.78437322207472,302528.0,2007.0,8.0
4213,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,857807.0,2011.0,4.0
4214,African American,Married,Unknown or not provided,Female,Single Family Residence,49.0,2690020.1083089667,1978.6730014713094,2.0
4215,Unknown,Unknown,Unknown or not provided,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,40301300.0,2014.0,11.699925539836187
4216,Western European,Married,Limited Partnership,Male,"Multi-Family Dwellings (Generic, any combination)",55.0,46245400.0,2009.0,7.0
4217,East Asian,Unknown,Unknown or not provided,Female,Condominium,32.0,212769.0,1986.0,23.0
4218,East Asian,Married,Company/Corporation/Incorporated,Female,"Multi-Family Dwellings (Generic, any combination)",76.0,58803000.0,1999.0,3.0
4219,Hispanic,Unknown,Husband and wife,Male,Single Family Residence,54.78437322207472,48562.0,1960.0,0.0
4220,Hispanic,Unknown,Unknown or not provided,Female,Condominium,54.78437322207472,209457.0,2002.0,13.0
4221,Western European,Unknown,Life Estate,Male,"Multi-Family Dwellings (Generic, any combination)",78.0,55309700.0,2009.0,7.0
4222,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,150358.0,1926.0,2.0
4223,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,150358.0,1926.0,2.0
4224,Hispanic,Single,Unmarried Woman,Female,Single Family Residence,57.0,69098.0,1950.0,23.0
4225,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,24010.0,1924.0,12.0
4226,Jewish,Single,Unmarried,Female,Single Family Residence,44.0,208751.0,2007.0,8.0
4227,Mediterranean,Single,Unknown or not provided,Male,Single Family Residence,59.0,38432.0,1920.0,24.0
4228,Mediterranean,Unknown,Unknown or not provided,Female,Single Family Residence,33.0,91594.0,1949.0,23.0
4229,Western European,Unknown,Unknown or not provided,Male,Condominium,54.78437322207472,79125.0,1984.0,24.0
4230,Western European,Married,Unknown or not provided,Female,Single Family Residence,50.0,109874.0,1948.0,23.0
4231,Western European,Married,Unknown or not provided,Male,"Multi-Family Dwellings (Generic, any combination)",61.0,45627400.0,1979.0,9.0
4232,Hispanic,Single,Unmarried Man,Male,Single Family Residence,45.0,33700.0,1952.0,23.0
4233,African American,Married,Company/Corporation/Incorporated,Female,Condominium,53.0,100.0,2004.0,11.0
4234,Unknown,Unknown,Unknown or not provided,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,189408.0,1928.0,24.0
4235,Other,Married,Unknown or not provided,Female,Single Family Residence,60.0,790282.0,1918.0,24.0
4236,African American,Unknown,Life Estate,Male,Single Family Residence,54.78437322207472,35306.0,1952.0,1.0
4237,East Asian,Married,Company/Corporation/Incorporated,Female,"Multi-Family Dwellings (Generic, any combination)",76.0,58803000.0,1999.0,3.0
4238,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,381966.0,1953.0,19.0
4239,African American,Unknown,Trustee,Female,Single Family Residence,54.78437322207472,37992.0,1920.0,0.0
4240,Western European,Married,Limited Partnership,Male,"Multi-Family Dwellings (Generic, any combination)",55.0,46245400.0,2009.0,7.0
4241,Hispanic,Married,Unknown or not provided,Male,Single Family Residence,46.0,239582.0,1949.0,0.0
4242,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,869000.0,1925.0,23.0
4243,African American,Married,Unknown or not provided,Male,Condominium,28.0,164382.0,1890.0,10.0
4244,Western European,Married,Unknown or not provided,Male,Residential - Vacant Land,61.0,32890.0,1950.0,0.0
4245,African American,Single,Husband and wife,Male,Single Family Residence,25.0,95025.0,1915.0,23.0
4246,Unknown,Unknown,Unknown or not provided,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,40301300.0,2014.0,11.699925539836187
4247,Jewish,Unknown,Unknown or not provided,Male,Single Family Residence,48.0,133836.0,1958.0,23.0
4248,Unknown,Unknown,Unknown or not provided,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,455149.0,1924.0,24.0
4249,Western European,Unknown,Unknown or not provided,Male,Condominium,54.78437322207472,332411.0,2001.0,14.0
4250,Western European,Unknown,Unknown or not provided,Male,Condominium,54.78437322207472,332411.0,2001.0,14.0
4251,African American,Married,Unknown or not provided,Female,Single Family Residence,59.0,51698.0,1949.0,24.0
4252,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,447682.0,1998.0,17.0
4253,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,447682.0,1998.0,17.0
4254,African American,Married,Joint Tenant/Joint Tenant with right of Survivorship,Male,Single Family Residence,54.0,137719.0,1928.0,9.0
4255,Unknown,Unknown,Limited Partnership,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,6979400.0,1986.0,1.0
4256,Unknown,Unknown,Trustee,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,425770.0,1937.0,17.0
4257,Western European,Single,Single Man,Male,Single Family Residence,56.0,83330.0,1926.0,23.0
4258,Hispanic,Unknown,Unknown or not provided,Male,Single Family Residence,54.78437322207472,79778.0,1952.0,23.0
4259,Unknown,Unknown,Unknown or not provided,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,40301300.0,2014.0,11.699925539836187
4260,Western European,Single,Unknown or not provided,Female,Single Family Residence,75.0,87039.0,1964.0,0.0
4261,Western European,Married,Unknown or not provided,Male,Single Family Residence,56.0,174559.0,1986.0,1.0
4262,Unknown,Unknown,Husband and wife,Unknown,Single Family Residence,54.78437322207472,703566.0,1942.0,23.0
4263,Western European,Married,Unknown or not provided,Female,Single Family Residence,66.0,584251.0,1957.0,6.0
4264,Western European,Married,Unknown or not provided,Female,Single Family Residence,66.0,584251.0,1957.0,6.0
4265,Unknown,Unknown,Husband and wife,Unknown,Single Family Residence,54.78437322207472,703566.0,1942.0,23.0
4266,African American,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,31314.0,1905.0,24.0
4267,Unknown,Unknown,Trustee,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,564500.0,1923.0,24.0
4268,Western European,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,72015.0,1956.0,23.0
4269,Western European,Married,Unknown or not provided,Male,"Multi-Family Dwellings (Generic, any combination)",61.0,45627400.0,1979.0,9.0
4270,African American,Unknown,Unknown or not provided,Unknown,Condominium,54.78437322207472,99605.0,2006.0,9.0
4271,East Asian,Married,Unknown or not provided,Female,Single Family Residence,54.0,113384.0,1948.0,23.0
4272,African American,Unknown,Company/Corporation/Incorporated,Male,Single Family Residence,50.0,99255.0,1997.0,19.0
4273,African American,Married,Unknown or not provided,Female,Condominium,26.0,76103.0,2005.0,11.0
4274,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,338091.0,1951.0,9.0
4275,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,23377.0,1955.0,11.0
