,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
11509,Eastern European,Married,Unknown or not provided,Female,Single Family Residence,60.0,230000.0,1994.0,22.0
11510,Other,Married,Husband and wife,Female,Single Family Residence,62.0,354000.0,1996.0,7.0
11511,Western European,Married,Unknown or not provided,Female,Single Family Residence,54.0,388233.0,1997.0,5.0
11512,Other,Married,Unknown or not provided,Female,Single Family Residence,51.0,287774.0,1996.0,20.0
11513,Western European,Married,Unknown or not provided,Female,Single Family Residence,66.0,360020.0,1993.0,22.0
11514,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.62957154858583,205219.0,1975.0,29.0
11515,East Asian,Married,Unknown or not provided,Female,Single Family Residence,75.0,342033.0,1979.0,28.0
11516,Western European,Married,Unknown or not provided,Female,Single Family Residence,69.0,164235.0,1977.0,28.0
11517,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,60.62957154858583,167485.0,1975.0,28.0
11518,Western European,Married,Husband and wife,Female,Single Family Residence,53.0,580778.0,2000.0,16.0
11519,Other,Married,Unknown or not provided,Female,Single Family Residence,66.0,409497.0,1994.0,22.0
11520,East Asian,Single,Unknown or not provided,Male,Single Family Residence,74.0,238805.0,1991.0,2.0
11521,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,77.0,138965.0,1976.0,29.0
11522,Western European,Married,Unknown or not provided,Female,Single Family Residence,82.0,271981.0,1996.0,20.0
11523,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11524,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11525,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11526,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11527,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11528,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11529,Western European,Unknown,Husband and wife,Female,Single Family Residence,59.0,237255.0,1978.0,21.938150112176217
11530,Other,Married,Husband and wife,Female,Single Family Residence,71.0,599906.0,2001.0,15.0
11531,Western European,Married,Husband and wife,Male,Single Family Residence,47.0,175652.0,1976.0,29.0
11532,Western European,Married,Unknown or not provided,Female,Single Family Residence,96.0,483000.0,1993.0,23.0
11533,Western European,Married,Unknown or not provided,Female,Single Family Residence,91.0,219872.0,1977.0,29.0
11534,Hispanic,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.62957154858583,174393.0,1983.0,2.0
11535,Eastern European,Single,Unmarried Man,Male,Single Family Residence,62.0,157080.0,1976.0,29.0
11536,East Asian,Single,Married Man,Female,Single Family Residence,53.0,398000.0,1999.0,17.0
11537,Hispanic,Married,Husband and wife,Female,Single Family Residence,46.0,258168.0,1997.0,18.0
11538,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,47.0,233431.0,1997.0,18.0
11539,Eastern European,Married,Unknown or not provided,Female,Single Family Residence,66.0,146441.0,1987.0,28.0
11540,Hispanic,Married,Husband and wife,Female,Single Family Residence,49.0,173134.0,1991.0,24.0
11541,Western European,Married,Unknown or not provided,Male,Single Family Residence,57.0,165000.0,1991.0,24.0
11542,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,46.0,162716.0,2004.0,11.0
11543,Hispanic,Separated,Unknown or not provided,Male,Single Family Residence,77.0,129541.0,1984.0,25.0
11544,Hispanic,Single,Husband and wife,Female,Single Family Residence,39.0,132500.0,1986.0,25.0
11545,Western European,Married,Unknown or not provided,Female,Single Family Residence,64.0,120441.0,1978.0,25.0
11546,Western European,Married,Unknown or not provided,Female,Single Family Residence,67.0,142341.0,1980.0,25.0
11547,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,57.0,145906.0,1982.0,25.0
11548,Western European,Married,Unknown or not provided,Female,Single Family Residence,64.0,112217.0,1978.0,25.0
11549,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,41.0,114932.0,1982.0,25.0
11550,Unknown,Unknown,Single Man,Unknown,Single Family Residence,60.62957154858583,197566.0,1998.0,17.0
11551,Western European,Single,Unknown or not provided,Male,Single Family Residence,36.0,95000.0,1983.0,25.0
11552,Hispanic,Unknown,Unknown or not provided,Male,Single Family Residence,60.62957154858583,168900.0,2012.0,3.0
11553,Western European,Married,Unknown or not provided,Female,Single Family Residence,66.0,190893.0,1997.0,18.0
11554,Eastern European,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.62957154858583,244611.0,1996.0,19.0
11555,Western European,Married,Living Trust,Female,Single Family Residence,55.0,200730.0,1997.0,18.0
11556,Hispanic,Married,Married,Male,Single Family Residence,62.0,143071.0,2002.0,13.0
11557,Western European,Separated,Unknown or not provided,Female,Single Family Residence,65.0,108595.0,1977.0,25.0
11558,Southeast Asian,Married,Husband and wife,Female,Single Family Residence,52.0,160217.0,1999.0,16.0
11559,Mediterranean,Married,Husband and wife,Female,Single Family Residence,66.0,242530.0,1994.0,21.0
11560,East Asian,Married,Unknown or not provided,Unknown,Single Family Residence,51.0,175611.0,2006.0,9.0
11561,Western European,Married,Unknown or not provided,Male,Single Family Residence,50.0,73072.0,1982.0,25.0
11562,Western European,Married,Husband and wife,Female,Single Family Residence,65.0,115144.0,1983.0,25.0
11563,East Asian,Single,Husband and wife,Male,Single Family Residence,49.0,186390.0,1995.0,20.0
11564,Scandinavian,Married,Unknown or not provided,Female,Single Family Residence,49.0,193851.0,1997.0,18.0
11565,Western European,Married,Unknown or not provided,Male,Single Family Residence,65.0,85000.0,1977.0,25.0
11566,Western European,Married,Husband and wife,Female,Single Family Residence,53.0,132256.0,1983.0,28.0
11567,Western European,Married,Unknown or not provided,Female,Single Family Residence,51.0,96043.0,1983.0,25.0
11568,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,60.62957154858583,161394.0,2003.0,12.0
11569,Mediterranean,Married,Unknown or not provided,Female,Single Family Residence,57.0,175381.0,1991.0,24.0
11570,Western European,Married,Husband and wife,Female,Single Family Residence,73.0,115770.0,1984.0,25.0
11571,Western European,Married,Unknown or not provided,Female,Single Family Residence,69.0,216000.0,1999.0,16.0
11572,Hispanic,Single,Unknown or not provided,Female,Single Family Residence,59.0,201871.0,1982.0,25.0
11573,Western European,Married,Unknown or not provided,Female,Single Family Residence,64.0,153500.0,1993.0,22.0
11574,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,53.0,156022.0,1982.0,25.0
11575,Western European,Married,Husband and wife,Female,Single Family Residence,54.0,210057.0,1989.0,25.0
11576,Hispanic,Single,Unknown or not provided,Female,Single Family Residence,20.0,127379.0,1975.0,25.0
11577,Western European,Married,Husband and wife,Female,Single Family Residence,54.0,225002.0,1992.0,23.0
11578,East Asian,Married,Unmarried,Female,Single Family Residence,79.0,219676.0,2002.0,13.0
11579,Mediterranean,Married,Unmarried Woman,Female,Single Family Residence,53.0,131418.0,1990.0,25.0
11580,Hispanic,Married,Husband and wife,Female,Single Family Residence,67.0,193930.0,2001.0,14.0
11581,Western European,Married,Husband and wife,Female,Single Family Residence,53.0,230816.0,1992.0,23.0
11582,East Asian,Single,Single Man,Male,Single Family Residence,48.0,230000.0,1996.0,19.0
11583,Western European,Married,Trust,Female,Single Family Residence,53.0,111792.0,1982.0,25.0
11584,Hispanic,Married,Unknown or not provided,Male,Single Family Residence,85.0,120736.0,1984.0,25.0
11585,Western European,Single,Single Woman,Female,Single Family Residence,57.0,88267.0,1981.0,25.0
11586,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,72.0,138979.0,1996.0,19.0
11587,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,108725.0,1979.0,25.0
11588,Western European,Married,Husband and wife,Male,Single Family Residence,38.0,188679.0,1996.0,19.0
11589,East Asian,Married,Unknown or not provided,Male,Single Family Residence,60.0,235638.0,1993.0,22.0
11590,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,42.0,104750.0,1976.0,25.0
